"dict_item_id"	"dict_item_name"	"dict_item_value"	"dict_item_group"	"dict_id"	"dict_item_description"
"0cfec31639774296accbe89e9cbb9204"	"信用卡"	"1"	""	"8cf48bbef72f4991868331f01ee83a27"	""
"146fb4cf6d6748eabecbc69c1a1ef0a0"	"管理员用户"	"1"	""	"a5033a0558c04cfe95982fda49488dc0"	"管理员"
"27c520c0877d4c85b28302b4885c9393"	"三级"	"3"	""	"6b55c8b3032d4e508e8af82b6d079ce5"	"三级新闻级别"
"289386451d1a46c88ec1587d3a2d108f"	"二级"	"2"	""	"6b55c8b3032d4e508e8af82b6d079ce5"	"二级新闻级别"
"44b3ec2b4f034d2699fab78a3554e7da"	"二级店铺"	"2"	""	"88f25bf7c2bc495db896bf5454222407"	"二级店铺"
"55e2f81f85cb41699fb21d4352de9d4f"	"关闭"	"2"	""	"c1de347e21b4451ebf23f136497ecd9d"	"关闭状态"
"569fbd91fe1b4a3ba342c0cc5ccda3eb"	"用户"	"1"	""	"17c143e943a2415e8786b1cd11d7c068"	""
"584eb23bd2e84556ad8449f7dc7fb3d1"	"快递"	"2"	""	"07bd347409f341ccb6f3acdfd522a09d"	"快递方式"
"659275182f00488692c890bfde0a6826"	"启用"	"1"	""	"7e62594a9e524f00bcd33af2db1ae7f7"	"启用状态"
"6d1f116c22b4419d955e78b99104f98c"	"一级店铺"	"1"	""	"88f25bf7c2bc495db896bf5454222407"	"一级店铺"
"714354864c614e2db4e2d365247c89f9"	"商铺"	"3"	""	"17c143e943a2415e8786b1cd11d7c068"	""
"806669a2845e4456a66188b9a7f36e58"	"营业"	"1"	""	"c1de347e21b4451ebf23f136497ecd9d"	"营业状态"
"9865bf21d0fd4df080a28e08eb085695"	"产品"	"2"	""	"17c143e943a2415e8786b1cd11d7c068"	""
"c7b547de28bb4cc09605ed3c12d784a7"	"网点自提"	"1"	""	"07bd347409f341ccb6f3acdfd522a09d"	"网点自提"
"d3049e60279449749dac4cf1b56cbfd8"	"一级"	"1"	""	"6b55c8b3032d4e508e8af82b6d079ce5"	"一级新闻级别"
"d3055c67c032486fb888db3dffcedbac"	"失效"	"2"	""	"7e62594a9e524f00bcd33af2db1ae7f7"	"失效状态"
"dd7e8c8f000e4c889c13f1fdcb006cdd"	"普通用户"	"2"	""	"a5033a0558c04cfe95982fda49488dc0"	"普通用户"
