"news_uuid"	"news_title"	"news_content"	"news_level"	"news_createtime"	"news_auth"
"2c31462992bf47c48971db3eaa03bd8e"	"广州农商银行贵金属及钱币主题商城，开启投资收藏新体验！"	"广州农商银行贵金属及钱币主题商城，开启投资收藏新体验！"	"2"	"2013/9/12"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b951"	"招商银行再次入选全球财富500强"	"来源： 中国经济网

　　中国经济网北京10月17日讯 近日,《财富》世界500强最新榜单揭晓,招商银行再次入选世界500强排行榜,排名较去年攀升了80位次,由492位跃至412位。

　　《财富》世界500强排行榜一直是衡量全球大型公司的最著名、最权威的榜单,由美国《财富》杂志每年发布一次。据悉,今年世界500强的入围门槛提高12亿美元,达到232亿美元。

　　招商银行成立26年来,伴随着中国经济的快速增长,在广大客户和社会各界的支持下,从当初只有1亿元资本金、1家营业网点、30余名员工的小银行,发展成为了资本净额超过2500亿、资产总额超过3.4万亿、全国设有超过800家网点、员工超过5万人的全国性股份制商业银行,并跻身全球前100家大银行之列。

　　凭借持续的金融创新、优质的客户服务、稳健的经营风格和良好的经营业绩,招行现已发展成为中国境内最具品牌影响力的商业银行之一。在银监会对商业银行的综合评级中,招行多年来一直名列前茅。同时荣膺英国《金融时报》、《欧洲货币》、《亚洲银行家》、《财资》(The Asset)等权威媒体授予的“最佳商业银行”、“最佳零售银行”“中国区最佳私人银行”、“中国最佳托管专业银行”多项殊荣。在英国《银行家》杂志2011 年公布的世界千强银行榜单上位列第56名。招商银行以品牌价值68 亿美元位居Millward Brown 发布的2012 年度BrandZ 最具价值中国品牌榜第14位。"	"3"	"2013/10/24"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b952"	"招商银行服务“10大升级” 优质体验成就“客户之悦”"	"招商银行的服务历来有着很好的口碑，招行自身也一直将服务作为安身立命之本。多年来，招行领先于国内同业开展了诸多关键性的服务改进，并在不断地变革和发展中，构建了包括服务方式、服务团队、金融产品、渠道体系和服务管理等多方面体系化的竞争优势。

　　日前，招行在“快捷系”、“新潮系”、“专属系”和“贴心系”四大板块开展了一系列服务升级。这轮升级让招行的老客户感到业务办理更加便捷，让新客户感觉到招行服务确实贴心，让高净值客户感受到定制服务带来的专属的体验，让八零九零后感觉到招行“潮到爆灯”的时尚范儿。

　　笔者观察到，随着服务不断地升级，招行“重视客户体验、提升服务价值”的理念也逐渐见成效。“我们现在希望给客户提供的已不仅是简单的标准服务或微笑服务，而是更关注如何让客户获得方便快捷的业务体验和温馨舒适的感受。”招商银行零售部门人士告诉笔者。

　　上述招行人士指出，服务10大升级是招行近期提升服务水平的一揽子措施，追求高品质的服务是招行与生俱来的“基因”，也是招行与同业最根本的差异化竞争力之一。

　　“快捷系”3大升级

　　“快捷系”升级就是招行希望通过流程优化，让客户能更轻松、高效地完成业务办理。目前，“快捷系”服务已经完成了“网点预约服务”、“网上银行自助填单”和“3G项目”等3大升级。

　　雷先生是招行的老客户，他告诉笔者现在到银行办理业务快捷多了。他会提前一天通过手机银行或微信银行预约，然后在预约时间到网点办业务就不用排队，效率很高。笔者了解到，今年下半年，招行对“网点排队信息查询”功能进行了全面升级，新增了“网点预约”功能，客户只需通过招行手机银行预约网点和业务办理的时间段，届时银行专门柜台将对该客户提供优先服务。

　　雷先生说，招行的服务惊喜之处还在于“免了排队还免了现场填单”，针对一些业务，现在只要在出发之前登陆网上银行填好单，到了柜台就可以直接打印，不用到现场耽误时间，填错了还要重填。

　　除此以外，招行零售部门人士还透露，招行的“3G项目”开发工作已完成，目前开始在招行各地分行逐步上线运行。“3G项目”是招行对第三代业务系统进行一次全面的升级，主要针对柜面流程进行优化，将在很大程度上提升服务效率和客户服务体验。

　　据了解，“3G项目”开发完成后，业务的操作流程将得到优化。比如，网点开户的效率比原来提升一倍以上、办理挂失可立即换卡、部分只能在开户行办理的业务将扩大受理范围，在控制风险的前提下调整为全行任意网点均可受理等。“3G项目”对原有的业务流程做了很多人性化的系统处理。

　　“新潮系”3大升级

　　给客户最好的服务体验也是招行服务升级的终极目标。近年来，招行陆续推出了4大“新潮系”体验升级。

　　很多客户在等待办理业务的时候会玩手机打发时间，有些时候客户经理介绍手机银行业务的时候要在客户手机下载招行客户端，客户用2G网络会觉得不给力，用3G网络则心疼流量。于是招行在全国大部分网点都实现了免费WIFI覆盖，客户只要在招行网点都能享受到免费、高速的无线网络。

　　招行的客户服务仍在不断升级。目前招行已在近20个城市的网点配置了IPHONE、IPAD和IMAC“苹果三件套”，客户可以体验极速网络和设备带来的改变。

　　除此以外，招行近期推出了“可视柜台”，该自助设备集成了二代身份证联网核查、高清摄像头、触摸屏、加密数字键盘、读卡器等模块，借助先进的网络视频技术，客户可通过VTM与后台运营中心的远程柜员进行“面对面”沟通，替代传统网点高柜办理原来只能在网点柜台“面签”的复杂业务。

　　招行零售部门人士表示：“‘可视柜台’的推出，除了有助于提高客户办理业务效率以外，更重要的是希望客户能感受到招行的时尚感和科技感。打造最先进的IT银行一直是招行的目标之一。”

　　招行今年推出全国首家“微信银行”，不用下载APP，只需要在微信上关注“招商银行”微信账户，就可以办理很多银行业务，就像把银行轻松地装进了口袋。

　　目前，招行“微信银行”不仅可以实现借记卡账户查询、转账汇款，信用卡账单查询、还款、积分查询等卡类业务；还可以实现网点查询，贷款申请、办卡申请、手机充值、生活缴费、预约办理和跨行资金归集等多种便捷服务。此外，如果客户有疑问，除了拨打95555的电话，还可以更方便地在微信上和招行客户对话咨询。

　　“专属系”2大升级

　　“专属系”是最能体现招行“因您而变”理念的服务之一。随着客户需求多元化、深层化、复杂化的发展，银行只有真正做到“因需而变”才能给行客户提供感动的服务。

　　招行一直为高端客户提供着国内最为专业的财富管理服务，面对客户对财富管理的复杂需求和不同的风险偏好，一方面推出了一系列专属的理财产品满足客户需要，另一方面还在“全球资产配置模型”的基础上，特别为高端客户开发了以WMS系统为依托、按照国际先进的资产配置方法和理念集合而成的“新一代财富管理系统”。

　　该系统在国内实属首创，它根据客户生命周期、风险偏好与投资目标，对客户的持仓进行及时的盈亏提醒，并对资产配置进行定期深入地检视，从而为客户提出针对性的调整建议，以实现客户的财富目标。“在新系统里，我们会在一定周期内为客户提供一对一的资产检视建议和配置改进方向，给客户更专属的财富管理服务。”招行人士对笔者表示。

　　除了为高端客户提供专业的服务外，招行还为年轻客户提供了更为酷炫的“一卡通M+卡”。今年6月份，招行“M+卡”个性化定制卡片问世，“M+卡”抓住了八零九零后独立个性、厌恶繁琐、紧跟潮流的特征，特别研发了集“4大功能+3大免费+3剑客”于一体的“+”功能，为八零后九零后的金融生活开启了最新鲜的玩法。

　　“4+3+3”的功能组合在卡面和功能上都由八零九零后专属：潮人卡面玩个性、储蓄理财玩智能、玩闪付快人一步、玩转二维码惊喜不断。更值得一提的真金白银的实惠是，M+持卡人使用电子银行转账、ATM取款免费，并且M+卡能支持网银专业版、手机银行与pad银行，有u-key没u-key的日子都可以轻松支付。

　　“我们希望年轻客户以后会记得：那些年，跟我们一起耍酷的招行。”招行零售部门人士表示。

　　“贴心系”2大升级

　　多年来，招行持续关注并推动零售客户贴心关怀服务创新。今年，招行“贴心系”服务再次大步向前迈进，网点“错峰提示”和“晨迎夕送”、“随心享”贵宾礼遇等贴心关怀服务举措应运而生。

　　此前，招行在国内率先推出的站立服务、微笑服务、给客户送牛奶、咖啡、鲜花这种类型的服务已经使招行“贴心”的形象深入人心。近年来，客户渐渐发现招行的服务已经远不止微笑、牛奶、鲜花那么简单，这些服务在不断地给客户带来惊喜。

　　如今，招行更多地关注于客户方便快捷的业务体验、温馨舒适的服务感受，雷先生告诉笔者，招行的贴心几乎深入到每个细节，“现在招行营业厅会有客流量高峰期的提示，我们可以选择人少的时候去办理业务。另外招行在早上开工和傍晚收工的时候还会播放舒服的音乐，这种感觉特别美妙。”

　　招行零售部门人士表示，“错峰提示”是非常便民的一项服务升级，目前全国各营业网点都对本网点客流“峰谷时刻”进行提示、引导客户“错峰”办理业务。这些提示是根据每个网点客流情况个性化定制并依据实际情况随时调整的。同时也引导客户有效运用“网点预约”新功能提升服务体验和帮助网点有效平滑网点各时段客流量。

　　“每日营业开始、结束是客户服务的关键时刻，为了使关键时刻的客户体验更加舒适温馨，招行录制了‘晨迎夕送’广播语配合轻柔舒缓的音乐，供各网点每日营业开始、结束时在营业厅内播放。”招行零售部门人士说。

　　除此以外，为了给客户提供金融服务以外的更多尊贵权益和生活便利，招行还推出了“随心享”贵宾礼遇，达标客户可以轻松享受商旅出行、贵宾登机、汽车租赁、健康体检、高球畅打、法律咨询、财商教育、海外游学、艺术培养、公益参与、收藏品鉴等方面的“十大贵宾礼遇”，尊贵礼遇再度升级。

　　“招行用心做的每一项改变，其实都是希望能够为客户带来不一样的服务感受，提供高品质的服务是招行与生俱来的基因，同样，创造更快捷、更新潮、更专属和更贴心的客户体验是招行的不懈追求。”招行零售部门人士表示。（庄子）
 "	"4"	"2013/10/3"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b953"	"招商银行成为余姚当地首家 恢复对公和储蓄业务的银行"	"本报讯 日前，招商银行余姚支行恢复营业，成为当地首家恢复对公和储蓄业务的银行。

　　超强台风“菲特”给宁波带来大风及持续强降雨，造成宁波城区及部分县域出现严重内涝，给宁波当地居民生活带来了很大不便。期间，招商银行宁波城区各网点坚持营业从未间断，奉化支行在10月8日停业半天后成功解决了钱箱问题即恢复营业，成为当天奉化城区四家能够办理现金业务的唯一股份制商业银行。

　　“菲特”影响宁波期间，招商银行本着“服务大众、履行企业社会责任”的理念，采取各种措施最大程度地开展业务，满足受灾群众的金融服务需求。（庄少文）"	"1"	"2013/10/11"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b954"	"激战小微市场 招行新增千亿领先"	"第一财经日报                   

《第一财经日报》记者近日获悉，截至目前，招行小微企业贷款今年新增超千亿元，暂时仍领跑股份行。 去 
年以来，在利率市场化和金融脱媒倒逼之下，不少国有大行、股份行纷纷开始“下沉”业务。2013年，各家银行发力“小微”市场，比模式、比成本、比效率、比规模……可谓铆足了劲。

从半年报来看，股份行中则数招行和民生银行最为突出。截至上半年末，招行小微企业贷款余额为2551.12亿元，较年初增加780.76亿元，增长44.02%。同期，民生银行小微贷款余额为3860.25亿元，较年初增加690.74亿元，增幅21.79%。

《第一财经日报》记者近日获悉，截至目前，招行小微企业贷款今年新增超千亿元，暂时仍领跑股份行。而在“小微”策略方面，招行则将继续主打“深耕”牌，着力提高效率、降低成本。

主打“深耕”牌

对于目前竞争日趋激烈的“小微”市场，招行零售业务总监刘建军表示，对于招行而言，做好小微业务并不在于业务模式有多标新立异，而是不断优化现有模式，不断做细、做精、做到极致。

“招行把‘抓好小微企业深度经营’作为2013年零售业务的发展重点。”在他看来，这“深度经营”体现在两方面：一是能够提供小微企业或企业主需要的各种金融需求，包括信贷、结算、财务管理，包括企业经营管理的培训等；二是提高运营效率、降低成本。

据了解，招行整体小微贷款笔均140万元~150万元，其中小微信用贷款单笔都在100万元以下，抵押贷款可至200万元~300万元。而在此基础上，招行还将进一步“下沉”。

刘建军表示，把“小微”业务做精，招行还要继续往“下”做，例如单笔额度更低。“这并不意味着要容忍更多风险的发生，而是要有更好的风险技术去识别这些客户和风险。”

“往‘下’走的目的是可以获得更高的风险定价。”刘建军认为，“小微”市场竞争激烈，资信好的客户大家都在抢，“我们要考虑的是，那些资信不好的客户怎么把控他的风险，怎么获得更高的定价。”

据招行零售银行部总经理助理赵晓君介绍，招行的风险识别技术主要还是以“生意一卡通”评分卡为基础的风险管理技术策略。“要去分析客户坏账的原因、共同特点，通过数据统计优化风控标准，这是一个无止境的优化过程。”

信用贷占比提升

随着各家银行小微业务的深入推进，抵押贷款占比下降的趋势明显。尤其是今年以来，不少银行都在力推小微信用贷款。

以招行为例，据刘建军介绍，上半年新增小微贷款中，抵押贷款占比为80%左右。而一年前，招行的抵押贷款占比超过95%，保证贷款有一些，信用贷款极少，“抵押贷款比例降低、信用贷款提升是战略安排。”

事实上，据本报记者不完全统计，目前不少银行都推出了针对小微企业的信用贷款产品。例如，平安银行的新一贷、招行的信用贷、民生银行的畅易贷、广发银行的生意红、建行的善融贷、工行的小额便利贷等。

本报记者从各家银行了解到的情况显示，各家银行信用贷款的最高贷款额度为50万元~200万元不等，放贷期限通常较短，主要满足企业经营资金周转需要。

一家股份行人士告诉本报记者，其实不少银行一直都有信用贷款产品，只是以前信用贷款大多集中在个人消费领域，而现在则越来越多运用在小微业务中，目标客户群也从公司白领变为了小微企业主。

从招行来看，随着信用贷款比例的增加，招行小微贷款定价能力得到提高。其半年报显示，上半年新增小微贷款加权平均利率浮动比例为32.61%，较2012年全年提高3.20个百分点。

据刘建军介绍，招行小微信用贷款的年化利率与同业相比还处于比较低的定价。“收益水平源自我们的低资金成本，招行的总体资金成本才1.5%，这是我们的优势。”"	"1"	"2013/10/11"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b955"	"招行信用卡：指尖上的银行"	"如果按部就班的发展，招行很可能会和很多银行一样，极力推进信用卡的发卡量。但互联网技术的出现特别是与金融的结合，使得招行信用卡不得不重新审视新技术对于信用卡业务甚至银行业务带来的冲击。

    招行信用卡中心副总经理刘鹏表示，“招行不能再走传统的扩大发卡量的路子，而要审时度势的去卡化，拥抱互联网成为最好的选择。”事实上，为了要在移动互联网时代占据主动，招行一直不断探索新的产品和服务。而在与移动互联网结合的过程中，招行信用卡对微信平台尤为看重。这既与微信的使用群体大部分是年轻人，与招行的目标群体较为吻合有关，更重要的，则源于招行以服务升级为核心的二次转型的迫切需求。

    “招行信用卡一直将微信平台定义为服务平台，而非营销平台。”刘鹏表示，“利用微信来改善招行的服务，增加个性化的服务才是招行信用卡微信平台的核心。”

    微客服平台上线后，由最初的只涉及业务宣传咨询及账户余额查询等功能，逐步增加了LBS、语音等功能，并升级到微信银行，其功能不仅可实现借记卡账户查询、转账汇款、信用卡账单查询等卡类业务，还可实现招行网点查询、贷款申请、手机充值、跨行资金归集等多种便捷服务。良好的用户体验，也为微信客服带来了高达两百万的绑定用户，其中70%的用户选择了信用卡绑定，成为微信客服的实际使用者。

    “服务就是最好的营销，互联网基因是招行信用卡做好服务的基石。”刘鹏表示：“招行信用卡要进行的是自我革命，最终将手机变成‘指尖上的银行’。”"	"2"	"2013/10/28"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b956"	"招商银行成功抢滩上海自贸区 现金管理优势明显"	"如果按部就班的发展，招行很可能会和很多银行一样，极力推进信用卡的发卡量。但互联网技术的出现特别是与金融的结合，使得招行信用卡不得不重新审视新技术对于信用卡业务甚至银行业务带来的冲击。

    招行信用卡中心副总经理刘鹏表示，“招行不能再走传统的扩大发卡量的路子，而要审时度势的去卡化，拥抱互联网成为最好的选择。”事实上，为了要在移动互联网时代占据主动，招行一直不断探索新的产品和服务。而在与移动互联网结合的过程中，招行信用卡对微信平台尤为看重。这既与微信的使用群体大部分是年轻人，与招行的目标群体较为吻合有关，更重要的，则源于招行以服务升级为核心的二次转型的迫切需求。

    “招行信用卡一直将微信平台定义为服务平台，而非营销平台。”刘鹏表示，“利用微信来改善招行的服务，增加个性化的服务才是招行信用卡微信平台的核心。”

    微客服平台上线后，由最初的只涉及业务宣传咨询及账户余额查询等功能，逐步增加了LBS、语音等功能，并升级到微信银行，其功能不仅可实现借记卡账户查询、转账汇款、信用卡账单查询等卡类业务，还可实现招行网点查询、贷款申请、手机充值、跨行资金归集等多种便捷服务。良好的用户体验，也为微信客服带来了高达两百万的绑定用户，其中70%的用户选择了信用卡绑定，成为微信客服的实际使用者。

    “服务就是最好的营销，互联网基因是招行信用卡做好服务的基石。”刘鹏表示：“招行信用卡要进行的是自我革命，最终将手机变成‘指尖上的银行’。”"	"3"	"2013/10/4"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b957"	"商城送好礼，收获在金秋"	"商城送好礼，收获在金秋"	"1"	"2013/9/9"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b958"	"招商银行“科技贷”助力科技型中小企业蓬勃发展"	"如果按部就班的发展，招行很可能会和很多银行一样，极力推进信用卡的发卡量。但互联网技术的出现特别是与金融的结合，使得招行信用卡不得不重新审视新技术对于信用卡业务甚至银行业务带来的冲击。

    招行信用卡中心副总经理刘鹏表示，“招行不能再走传统的扩大发卡量的路子，而要审时度势的去卡化，拥抱互联网成为最好的选择。”事实上，为了要在移动互联网时代占据主动，招行一直不断探索新的产品和服务。而在与移动互联网结合的过程中，招行信用卡对微信平台尤为看重。这既与微信的使用群体大部分是年轻人，与招行的目标群体较为吻合有关，更重要的，则源于招行以服务升级为核心的二次转型的迫切需求。

    “招行信用卡一直将微信平台定义为服务平台，而非营销平台。”刘鹏表示，“利用微信来改善招行的服务，增加个性化的服务才是招行信用卡微信平台的核心。”

    微客服平台上线后，由最初的只涉及业务宣传咨询及账户余额查询等功能，逐步增加了LBS、语音等功能，并升级到微信银行，其功能不仅可实现借记卡账户查询、转账汇款、信用卡账单查询等卡类业务，还可实现招行网点查询、贷款申请、手机充值、跨行资金归集等多种便捷服务。良好的用户体验，也为微信客服带来了高达两百万的绑定用户，其中70%的用户选择了信用卡绑定，成为微信客服的实际使用者。

    “服务就是最好的营销，互联网基因是招行信用卡做好服务的基石。”刘鹏表示：“招行信用卡要进行的是自我革命，最终将手机变成‘指尖上的银行’。”"	"1"	"2013/10/3"	"0105f0751c2f4bea888fc0508a8aea2b"
"8c45ad5dcfda49c6bb36165a4f17b959"	"招商银行“科技贷”助力科技型中小企业蓬勃发展"	"如果按部就班的发展，招行很可能会和很多银行一样，极力推进信用卡的发卡量。但互联网技术的出现特别是与金融的结合，使得招行信用卡不得不重新审视新技术对于信用卡业务甚至银行业务带来的冲击。

    招行信用卡中心副总经理刘鹏表示，“招行不能再走传统的扩大发卡量的路子，而要审时度势的去卡化，拥抱互联网成为最好的选择。”事实上，为了要在移动互联网时代占据主动，招行一直不断探索新的产品和服务。而在与移动互联网结合的过程中，招行信用卡对微信平台尤为看重。这既与微信的使用群体大部分是年轻人，与招行的目标群体较为吻合有关，更重要的，则源于招行以服务升级为核心的二次转型的迫切需求。

    “招行信用卡一直将微信平台定义为服务平台，而非营销平台。”刘鹏表示，“利用微信来改善招行的服务，增加个性化的服务才是招行信用卡微信平台的核心。”

    微客服平台上线后，由最初的只涉及业务宣传咨询及账户余额查询等功能，逐步增加了LBS、语音等功能，并升级到微信银行，其功能不仅可实现借记卡账户查询、转账汇款、信用卡账单查询等卡类业务，还可实现招行网点查询、贷款申请、手机充值、跨行资金归集等多种便捷服务。良好的用户体验，也为微信客服带来了高达两百万的绑定用户，其中70%的用户选择了信用卡绑定，成为微信客服的实际使用者。

    “服务就是最好的营销，互联网基因是招行信用卡做好服务的基石。”刘鹏表示：“招行信用卡要进行的是自我革命，最终将手机变成‘指尖上的银行’。”"	"2"	"2013/10/31"	"0105f0751c2f4bea888fc0508a8aea2b"
