"picture_uuid"	"target_uuid"	"picture_name"	"picture_description"	"picture_link"
"00f82c7d029047cd9b17acc69f89a451"	"b6b1382161bc4b639237a94a711707ef"	"蔬菜什锦礼盒"	"蔬菜什锦礼盒"	"http://mall.grcbank.com/TopMall/goods/G310000030/G310000030_L1.jpg"
"15617051552647dbac4ddfc9621f0656"	"850dc85f2b994c07a939a6bb662cecab"	"粤宝金投资金条100克"	"粤宝金投资金条100克"	"http://mall.grcbank.com/TopMall/goods/G120000003/G120000003_L4.jpg"
"179e2cf01ddb429f8c883a1940075312"	"aa357f968c2a4881bc1205564422a837"	"迷你南瓜（4个装）"	"迷你南瓜（4个装）"	"http://mall.grcbank.com/TopMall/goods/G310000032/G310000032_L3.jpg"
"1bafcaf734db40c6ade8825a3f6f9f93"	"54ba47db1bb14aba8747b474aae60273"	"美泰乐金条100克"	"美泰乐金条100克"	"http://mall.grcbank.com/TopMall/goods/G110000002/G110000002_L2.jpg"
"22feb31b4bf74625945a2997e2a5f6ce"	"10f8d4ae6078477caeb6c36eafad7ea8"	"黄秋葵"	"黄秋葵"	"http://mall.grcbank.com/TopMall/goods/G310000033/G310000033_L4.jpg"
"25d906c5ca104008a04f9f84ccdfa4a6"	"b6b1382161bc4b639237a94a711707ef"	"蔬菜什锦礼盒"	"蔬菜什锦礼盒"	"http://mall.grcbank.com/TopMall/goods/G310000030/G310000030_L2.jpg"
"2a8e6869598b4e45a4a12db067064b8b"	"54ba47db1bb14aba8747b474aae60273"	"美泰乐金条100克"	"美泰乐金条100克"	"http://mall.grcbank.com/TopMall/goods/G110000002/G110000002_L3.jpg"
"2d3ae3aa66784dde8ab87e630ae51d83"	"850dc85f2b994c07a939a6bb662cecab"	"粤宝金投资金条100克"	"粤宝金投资金条100克"	"http://mall.grcbank.com/TopMall/goods/G120000003/G120000003_L1.jpg"
"338753ef303e4b4e9d2c71c6354450fc"	"87dd30003bac4315bda73475f8ebb1c8"	"青海黑金刚紫土豆"	"青海黑金刚紫土豆"	"http://mall.grcbank.com/TopMall/goods/G310000001/G310000001_L4.jpg"
"3d4d788e63f94acbbddd92232cdbf03d"	"1254a54cf49c45609ae2400fdcfcfa26"	"蔬菜经典套餐A"	"蔬菜经典套餐A"	"http://mall.grcbank.com/TopMall/goods/G310000026/G310000026_L1.jpg"
"4db0b05331be4b65babce81aa78c14d9"	"54ba47db1bb14aba8747b474aae60273"	"美泰乐金条100克"	"美泰乐金条100克"	"http://mall.grcbank.com/TopMall/goods/G110000002/G110000002_L1.jpg"
"507ea7a6343a4933a0be2852f8efda3f"	"2d5c5c27a05f4440993e6b5e6dbbe0cd"	"极品铁棍山药"	"极品铁棍山药"	"http://mall.grcbank.com/TopMall/goods/G310000034/G310000034_L4.jpg"
"59b0f9278b484598a4e22883a48fc3cc"	"b6b1382161bc4b639237a94a711707ef"	"蔬菜什锦礼盒"	"蔬菜什锦礼盒"	"http://mall.grcbank.com/TopMall/goods/G310000030/G310000030_L3.jpg"
"5d9cfafab1e5477aa2b109df597423ec"	"2b4b4cf5a66d442d8c583cc0ceeb2e5d"	"福”字投资金条5克"	"福”字投资金条5克"	"http://mall.grcbank.com/TopMall/goods/G130000003/G130000003_L1.jpg"
"5e117404d2c44d2e99102b81000cd5e4"	"04dd34c321294d14a317f5d1d7f367c6"	""	""	"http://mall.grcbank.com/TopMall/goods/G140000001/G140000001_L2.jpg"
"61f64d2cf89049a48e8d0bb2c729410b"	"1254a54cf49c45609ae2400fdcfcfa26"	"蔬菜经典套餐A"	"蔬菜经典套餐A"	"http://mall.grcbank.com/TopMall/goods/G310000026/G310000026_L2.jpg"
"626f592a06a24f2d96073d9fbcaecd91"	"b6b1382161bc4b639237a94a711707ef"	"蔬菜什锦礼盒"	"蔬菜什锦礼盒"	"http://mall.grcbank.com/TopMall/goods/G310000030/G310000030_L4.jpg"
"664952f45bd8483fb4a44432c9bd2faf"	"aa357f968c2a4881bc1205564422a837"	"迷你南瓜（4个装）"	"迷你南瓜（4个装）"	"http://mall.grcbank.com/TopMall/goods/G310000032/G310000032_L2.jpg"
"68b52375d77f44f1b25ab4e495fc31d9"	"2d5c5c27a05f4440993e6b5e6dbbe0cd"	"极品铁棍山药"	"极品铁棍山药"	"http://mall.grcbank.com/TopMall/goods/G310000034/G310000034_L2.jpg"
"6b2b6e86df2f40068dbbe9d294a8e7bc"	"850dc85f2b994c07a939a6bb662cecab"	"粤宝金投资金条100克"	"粤宝金投资金条100克"	"http://mall.grcbank.com/TopMall/goods/G120000003/G120000003_L2.jpg"
"7d986edc9ca44644b6f2626f4fbb6cd2"	"04dd34c321294d14a317f5d1d7f367c6"	"蛇年吉祥叶子蛇5克"	"蛇年吉祥叶子蛇5克"	"http://mall.grcbank.com/TopMall/goods/G140000001/G140000001_L1.jpg"
"80adef0f855f4316801fe0c83229e0ac"	"2b4b4cf5a66d442d8c583cc0ceeb2e5d"	"“福”字投资金条1克"	"“福”字投资金条1克"	"http://mall.grcbank.com/TopMall/goods/G130000003/G130000003_L4.jpg"
"82d65fa3bda549449f1e2b6c2cd47394"	"54ba47db1bb14aba8747b474aae60273"	"美泰乐金条100克"	"美泰乐金条100克"	"http://mall.grcbank.com/TopMall/goods/G110000002/G110000002_L4.jpg"
"88dbb60b4e47449cb922668f2b012248"	"1254a54cf49c45609ae2400fdcfcfa26"	"蔬菜经典套餐A"	"蔬菜经典套餐A"	"http://mall.grcbank.com/TopMall/goods/G310000026/G310000026_L2.jpg"
"91295aefee7b4c20ae18fbee32ecf7a4"	"aa357f968c2a4881bc1205564422a837"	"迷你南瓜（4个装）"	"迷你南瓜（4个装）"	"http://mall.grcbank.com/TopMall/goods/G310000032/G310000032_L4.jpg"
