"product_uuid"	"product_name"	"product_fare"	"online_time"	"product_stock"	"product_delivery"	"unit_price"	"product_norm"	"shop_uuid"	"product_description"	"picture_uuid"	"PRODUCT_DETIAL"	"product_selled"	"product_modify"	"product_discount"	"product_priority"	"class_uuid"
"01bccf14294641acbdcc91ff178ee3ad"	"青海黑金刚紫土豆"	"12.00"	"2013/10/15"	"1234"	"1"	"78.00"	"3.0kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"fed8027f30dd4cb3a89d1f5cb6469f19"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/5.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/6.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/7.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/8.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/9.jpg"" />"	"124"	"2013/10/15"	"5.00"	"1"	"37a8d52ca9f64292b50bb11d1813b551"
"01e8279520554b02bd0a431671c4b2fd"	"迷你南瓜（4个装）"	"10.00"	"2013/10/1"	"1000"	"1"	"15.00"	"1"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"f5c0c5620ab947e0a943c0a846d8ae8c"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/5.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/6.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/7.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/8.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/9.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/10.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/11.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/12.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/13.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/14.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000032/xq/15.jpg"" />"	"23"	"2013/10/1"	"7.00"	"2"	"415e960958374d29ae8a50aa127da557"
"0416f0851a9d4b37a105c768fb1b78fa"	"新鲜红肉蜜柚2个装约6斤"	"12.00"	"2013/10/10"	"1234"	"1"	"36.00"	"约3kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"cb514ec1073540f5856243fa61e59fee"	"<img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/5.jpg"" />"	"12"	"2013/10/10"	"7.00"	"1"	"37a8d52ca9f64292b50bb11d1813b551"
"04dd34c321294d14a317f5d1d7f367c6"	"通熊猫加字1盎司银币"	"10.00"	"2013/10/14"	"100"	"1"	"1050.00"	"面额10元"	"通熊猫加字1盎司银币"	"京沪高速铁路开通熊猫加字1盎司银币"	""	"广东粤宝黄金投资有限公司（简称广东粤宝）成立于1995年，前身是中国人民银行广东省分行直属机构，是中国人民银行特许的从事黄金交易与投资、钱币经销的专业机构。广东粤宝是上海黄金交易所综合会员、中国金币总公司特许零售商、代理瑞士美泰乐公司（世界最大的贵金属精炼厂）在广东区域的金条销售、上海造币厂广东特许经销商、康银阁钱币公司特约经销商等。. 广东粤宝在全国黄金行业和钱币行业享有较高的知名度和良好的信誉度。广东粤宝在钱币业务的三大优势：. 优势一：血脉纯正、历史悠久、品牌影响力强。公司是广东省历史最久的黄金钱币公司。被中国金币总公司授予“全国示范店”称号。. 优势二:拥有钱币市场最核心的行业资源。中国金币特许零售商、康银阁公司经销商、上海造币厂广东经销部、美国NGC鉴定评级业务中国总代理、广东省集币协会，集“五块牌照”为一身，是广东省钱币行业唯一拥有多项资源的机构"	"50"	""	"9.00"	"1"	""
"0d872bb3c6de49e0a28e45472a45a138"	"青海黑金刚紫土豆"	"12.00"	"2013/10/15"	"1234"	"1"	"78.00"	"3.0kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"fed8027f30dd4cb3a89d1f5cb6469f19"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/5.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/6.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/7.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/8.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G310000001/xq/9.jpg"" />"	"124"	"2013/10/15"	"5.00"	"1"	"415e960958374d29ae8a50aa127da557"
"0dbf1830e5424e38a6fa5773ba408ded"	"新鲜红肉蜜柚2个装约6斤"	"12.00"	"2013/10/10"	"1234"	"1"	"36.00"	"约3kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"cb514ec1073540f5856243fa61e59fee"	"<img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/5.jpg"" />"	"12"	"2013/10/10"	"7.00"	"1"	"577b7763af9843e8acf8bad49f013c05"
"0f306d78c1b44c09a15a010a709e61c0"	"黄秋葵"	"12.00"	"2013/10/1"	"1345"	"1"	"123.00"	"2.5kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"b5f5139ee7ff448a86b528ee9555d42f"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000033/xq/1.jpg"" />"	"12"	"2013/10/1"	"8.00"	"1"	"37a8d52ca9f64292b50bb11d1813b551"
"10f8d4ae6078477caeb6c36eafad7ea8"	"黄秋葵"	"12.00"	"2013/10/1"	"1345"	"1"	"123.00"	"2.5kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"b5f5139ee7ff448a86b528ee9555d42f"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000033/xq/1.jpg"" />"	"12"	"2013/10/1"	"8.00"	"1"	"88a74778c35f4068b37bf037d11dc70e"
"11c3b2347b4a425aac44c76640316daf"	"新鲜红肉蜜柚2个装约6斤"	"12.00"	"2013/10/10"	"1234"	"1"	"36.00"	"约3kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"cb514ec1073540f5856243fa61e59fee"	"<img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/1.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/2.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/3.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/4.jpg"" /><span style=""font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);"">&nbsp;</span><br style=""margin: 0px; padding: 0px; font-family: Simsun; font-size: 12px; background-color: rgb(255, 255, 255);""><img src=""http://mall.grcbank.com/TopMall/goods/G320000079/xq/5.jpg"" />"	"12"	"2013/10/10"	"7.00"	"1"	"67b62da848c34067b15372fb25a1432d"
"1254a54cf49c45609ae2400fdcfcfa26"	"蔬菜经典套餐A"	"12.00"	"2013/10/12"	"1234"	"1"	"68.00"	"3.5kg/箱"	"ae8daace903c4c8fb45ec44b39a62b5c"	""	"3d4d788e63f94acbbddd92232cdbf03d"	"<img src=""http://mall.grcbank.com/TopMall/goods/G310000026/xq/1.jpg"" />"	"123"	"2013/10/12"	"6.00"	"1"	"88a74778c35f4068b37bf037d11dc70e"
