"class_uuid"	"class_name"	"parent_id"
"010b25e25bdc4f55ad44a2951ce77181"	"重大历史事件纪念币"	"7c822149550c43cd97fe186bf3aab668"
"0237326874874014885f4b8abc64a886"	"生鲜食品"	""
"0fff7dc37b1b42168c3753ac43ee2977"	"地方特产"	"3b225fe39e5c4f2b91d2082f250c9ab6"
"1342a60495d1470eb829165f4e910cb1"	"年年有余金条"	"366bb9e4d6a94da3842e5fcca135a3a8"
"366bb9e4d6a94da3842e5fcca135a3a8"	"贵金属"	""
"37a8d52ca9f64292b50bb11d1813b551"	"休闲食品"	"3b225fe39e5c4f2b91d2082f250c9ab6"
"3b225fe39e5c4f2b91d2082f250c9ab6"	"非生鲜食品"	""
"3e765535673d467290ea5373227ce531"	"粤宝银条"	"366bb9e4d6a94da3842e5fcca135a3a8"
"415e960958374d29ae8a50aa127da557"	"蛋类"	"0237326874874014885f4b8abc64a886"
"577b7763af9843e8acf8bad49f013c05"	"水果"	"0237326874874014885f4b8abc64a886"
"67b62da848c34067b15372fb25a1432d"	"健康茶类"	"3b225fe39e5c4f2b91d2082f250c9ab6"
"694e68e294b742fba959efa1729fe240"	"健康礼盒"	""
"705730bb72f44bc0bd9ccd9edb66bdac"	"速冻食品"	"0237326874874014885f4b8abc64a886"
"7c822149550c43cd97fe186bf3aab668"	"钱币"	""
"88a74778c35f4068b37bf037d11dc70e"	"蔬菜"	"0237326874874014885f4b8abc64a886"
"a5820e0d303041deb3ca3c5a5fc13c9e"	"黄金"	"366bb9e4d6a94da3842e5fcca135a3a8"
"b0a185fa2f15475c8d04c3c7612810bc"	"米面粮油"	"3b225fe39e5c4f2b91d2082f250c9ab6"
"b966baf5175e449ea33959d571bed605"	"白银"	"366bb9e4d6a94da3842e5fcca135a3a8"
"c7e480ed2ec4488a9cede91cd087d43b"	"熊猫系列纪念币"	"7c822149550c43cd97fe186bf3aab668"
"d6e425f80cbf4cbc9e591eec1a37129e"	"美泰勒金条"	"366bb9e4d6a94da3842e5fcca135a3a8"
"e9766fbb15e1475b88c0f898fa3e38df"	"年年有余金条"	"366bb9e4d6a94da3842e5fcca135a3a8"
"f0df5776b9644efab06ad28bbbec3db9"	"巧克力"	""
"f8dc18f28a024b5386803a9a3b2318c3"	"肉禽"	"0237326874874014885f4b8abc64a886"
